Vin|NumeroInventario|CostoCompra|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|Placas|NuevoUsado|Ubicacion|Nada
3KPFB4AAXSE096054|17444|255109.78|255159.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|CLEAR WHITE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|APOCADA|
3KPFB4AAXSE094479|17446|255109.78|255159.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|APOCADA|
3KPFB4AAXSE095440|17449|255109.78|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|CLEAR WHITE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|APOCADA|
3KPFB4AA4SE094929|17450|255109.78|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|APOCADA|
3KPFB4AA3SE096056|17471|255109.78|255159.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|CLEAR WHITE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|27/01/25||NUEVO|APOCADA|
3KPFU4AE2SE059075|16570|362051.56|362121.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|FIERY RED|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|19/11/24||NUEVO|APOCADA|
3KPFT4AE3SE057158|16569|328367.79|328437.79|2025|KIA|K4 SD|K4 2.0 NU LX IVT|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|19/11/24||NUEVO|APOCADA|
3KPFT4AE5SE065360|17284|328367.79|328437.79|2025|KIA|K4 SD|K4 2.0 NU LX IVT|SNOW WHITE PEARL|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|10/01/25||NUEVO|APOCADA|
3KPFS4AE6SE044472|17418|317888.39|317888.39|2025|KIA|K4 SD|K4 2.0 NU L IVT|SNOW WHITE PEARL|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|24/10/24||NUEVO|APOCADA|
3KPFW4AE3SE095335|17614|386228.51|386228.51|2025|KIA|K4 SD|K4  2.0 NU GT LINE|INTERSTELLA GRAY|ONIX BLACK|EFMLA|INTERCAMBIO|07/02/25||NUEVO|APOCADA|
