Vin|NumeroInventario|CostoActual|Anio|Marca|Modelo|Version|Color|Interior|Estado|TipoCompra|FechaCompra|NuevoUsado|Ubicacion
3KPFC4AAXSE098058|17612|332484.94|2025|KIA|K3 SEDAN|K3 EX PACK A/T Sedan|AURORA BLACK PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-07-02|NUEVO|APOCADA
3KPFB4AA9SE077818|16993|285774.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-23|NUEVO|APOCADA
3KPFB4AA5SE076858|17000|285704.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-23|NUEVO|APOCADA
3KPFB4AA4SE077175|17125|285774.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-28|NUEVO|APOCADA
3KPFB4AA8SE089426|17288|285774.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-01|NUEVO|APOCADA
3KPFB4AA4SE084420|17372|285704.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-17|NUEVO|APOCADA
3KPFB4AA4SE090296|17532|285704.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|FIERY RED|SATURN BLACK|EEAPG|INTERCAMBIO|2025-09-01|NUEVO|APOCADA
3KPFC4AA1SE094884|17363|304715.6|2025|KIA|K3 SEDAN|K3 1.6L EX AT SEDAN|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-16|NUEVO|APOCADA
3KPFB4AA5SE086841|17291|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-13|NUEVO|APOCADA
3KPFB4AA9SE093355|17303|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-14|NUEVO|APOCADA
3KPFB4AAXSE096054|17444|255159.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|CLEAR WHITE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
3KPFB4AAXSE094479|17446|255159.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
3KPFB4AAXSE095440|17449|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|CLEAR WHITE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
3KPFB4AA4SE094929|17450|255179.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
3KPFB4AA3SE096056|17471|255159.78|2025|KIA|K3 SEDAN|K3 1.6L L AT|CLEAR WHITE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|APOCADA
3KPFU4AE2SE059075|16570|362121.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|FIERY RED|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|2024-11-19|NUEVO|APOCADA
3KPFT4AE3SE057158|16569|328437.79|2025|KIA|K4 SD|K4 2.0 NU LX IVT|AZURE BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-11-19|NUEVO|APOCADA
3KPFT4AE5SE065360|17284|328437.79|2025|KIA|K4 SD|K4 2.0 NU LX IVT|SNOW WHITE PEARL|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|2025-10-01|NUEVO|APOCADA
3KPFS4AE6SE044472|17418|317888.39|2025|KIA|K4 SD|K4 2.0 NU L IVT|SNOW WHITE PEARL|MEDIUM GRAY|DISPONIBLE|INTERCAMBIO|2024-10-24|NUEVO|APOCADA
3KPFW4AE3SE095335|17614|386228.51|2025|KIA|K4 SD|K4  2.0 NU GT LINE|INTERSTELLA GRAY|ONIX BLACK|EFMLA|INTERCAMBIO|2025-07-02|NUEVO|APOCADA
3KPFB5AA7SE098463|17604|274723.45|2025|KIA|K3 HB|K3 1.6L LX M/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-06-02|NUEVO|APOCADA
3KPFC5AA7SE098122|17602|332486.54|2025|KIA|K3 HB|K3 1.6L EX PACK A/T HB|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-06-02|NUEVO|APOCADA
3KPFC5AA0SE098415|17603|332486.54|2025|KIA|K3 HB|K3 1.6L EX PACK A/T HB|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-06-02|NUEVO|APOCADA
3KPFE5AD6SE082157|16455|364681.2|2025|KIA|K3 HB|K3 2.0L GT-LINE A/T HB|FIERY RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-08-11|NUEVO|APOCADA
3KPFC5AA5SE073882|16256|304717.2|2025|KIA|K3 HB|K3 1.6L EX A/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-10-22|NUEVO|APOCADA
3KPFC5AA9SE078308|17280|304647.2|2025|KIA|K3 HB|K3 1.6L EX A/T HB|SILKY SILVER|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-08-01|NUEVO|APOCADA
LMWDT1G80N1083973|400247|301987.84|2022|DODGE|JOURNEY|JOURNEY AUT 1.5 LTS TURBO|BLANCO BRILLANTE|NEGRO|DISPONIBLE|PERSONA MORAL|2024-04-07|USADO|APOCADA
LMWDT1G8XP1122927|400323|400000.0|2023|DODGE|JOURNEY|JOURNEY SXT TURBO|NEGRO BRILLANTE|NEGRO|DISPONIBLE|PARTICULAR|2024-10-29|USADO|APOCADA
JM1BPCDL8K1103562|400358|225000.0|2019|MAZDA|MAZDA|M3 i GRAND TOURING T/A SEDAN|BLANCO APERLADO|PIEL NEGRA|ECSIX|PARTICULAR|2025-01-29|USADO|APOCADA
2FMPK4AP6KBB39493|400089|646300.0|2019|FORD|EDGE|FORD EDGE D6S|BLANCO PLATINADO|PIEL NEGRA|DISPONIBLE|PARTICULAR|2023-08-14|USADO|APOCADA
MA6CB6CD6JT003722|400360|100000.0|2018|CHEVROLET|BEAT|BEAT PAQ B|GRIS ACERO|NEGRO|DISPONIBLE|PARTICULAR|2025-05-02|USADO|APOCADA
3KPF24AD1PE564433|400350|280000.0|2023|KIA|FORTE|NEW FORTE PE 2.0L LX T/M SEDAN|SPORTY BLUE|SATURN BLACK|DISPONIBLE|PARTICULAR|2024-12-23|USADO|APOCADA
3KPF54AD7LE114559|400355|245000.0|2020|KIA|FORTE|NEW FORTE 2.0L GT-LINE IVT SEDAN|AZURE BLUE|NEGRO|DISPONIBLE|PARTICULAR|2025-01-17|USADO|APOCADA
3KPA34AC5ME391915|400319|220468.1|2021|KIA|NEW RIO|KIA RIO 1.6L EX T/A SEDAN|SNOW WHITE PEARL|NEGRO|DISPONIBLE|PARTICULAR|2024-10-31|USADO|APOCADA
LJD5AA1D1R0097263|400318|410000.0|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|SNOW WHITE PEARL|NEGRO|DISPONIBLE|PARTICULAR|2024-10-31|USADO|APOCADA
KNDJX3AA4J7898233|400288|244959.28|2018|KIA|SOUL|SOUL PE 1.6L TURBO SX DCT|BRIGHT SILVER|BLACK ONE TONE|DISPONIBLE|PARTICULAR|2024-09-13|USADO|APOCADA
KNDJ23AE7M7134608|400364|215000.0|2021|KIA|SOUL|NEW SOUL 1.6L LX TA|CLEAR WHITE+RED ROOF|NEGRO|DISPONIBLE|PARTICULAR|2025-12-02|USADO|APOCADA
3N1AB8AE2MY333614|400356|215000.0|2021|NISSAN|SENTRA|SENTRA SENSE CVT 2.0 LTS|ROJO MERLOT|NEGRO|DISPONIBLE|PARTICULAR|2025-01-28|USADO|APOCADA
3N8CP5HD9JL485230|400351|203900.0|2018|NISSAN|KICKS|KICKS ADVANCE 5P 1.6LTS  CVT AC|NARANJA METALICO|NEGRO|DISPONIBLE|PARTICULAR|2025-01-24|USADO|APOCADA
3N8CP5HD3HL480860|400331|180468.1|2017|NISSAN|KICKS|KICKS SENSE 5 PTS 1.6 LTS TM A/C|NARANJA METALICO|NEGRO|DISPONIBLE|PARTICULAR|2024-11-20|USADO|APOCADA
3N8CP5HE4NL518973|400342|270468.1|2022|NISSAN|KICKS|KICKS 5 PUERTAS ADVANCE 1.6 LTS TM|PLATA|NEGRO|DISPONIBLE|PARTICULAR|2024-06-12|USADO|APOCADA
9FB5R2VD6PM318715|400251|189992.94|2023|RENAULT|STEPWAY|STEPWAY INTENS CVT|ROJO FUEGO|NEGRO|DISPONIBLE|PERSONA MORAL|2024-05-07|USADO|APOCADA
JS2FH81S6J6105809|400365|135000.0|2018|SUZUKI|IGNIS|IGNIS GLX MT 5VEL 1.2LT|AGUAMARINA|NEGRO|DISPONIBLE|PARTICULAR|2025-12-02|USADO|APOCADA
JS2ZC63S8N6404267|400361|217000.0|2022|SUZUKI|SWIFT|SWIFT GLX 1.2L 4CIL 2WD CVT 5PTAS|ROJO VANADIO|NEGRO|DISPONIBLE|PARTICULAR|2025-04-02|USADO|APOCADA
3KPC35A59NE155849|400312|265000.0|2022|HYUNDAI|ACCENT|ACCENT HB GLS TA|ROJO|NEGRO|DISPONIBLE|PARTICULAR|2024-10-21|USADO|APOCADA
3KPC24B5XNE152549|400317|209868.1|2022|HYUNDAI|ACCENT|ACCENT SD GL MID TM|GRIS|NEGRO|DISPONIBLE|PARTICULAR|2024-06-11|USADO|APOCADA
MEX6G2600HT030450|400322|168200.0|2017|VOLKSWAGEN|POLO|POLO 1.6 5 VEL MANUAL|ROJO FLASH|NEGRO|DISPONIBLE|PARTICULAR|2024-10-29|USADO|APOCADA
MEX522603LT032809|400362|170000.0|2020|VOLKSWAGEN|VENTO|VENTO COMFORTLINE 1.6L 6VEL TIPTRONIC|PLATA REFLEX METALICO|NEGRO|DISPONIBLE|PARTICULAR|2025-01-30|USADO|APOCADA
LJD5AA1D1R0154996|16726|405859.71|2024|KIA|SELTOS|SELTOS 1.5L SX CVT|VIVID RED|SATURN BLACK|PDAMR|INTERCAMBIO|2024-09-26|NUEVO|ESCOBEDO
3KPFE4AD0SE079927|16610|364629.6|2025|KIA|K3 SEDAN|K3 2.0L GT-LINE A/T Sedan|WAVY BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-10-28|NUEVO|ESCOBEDO
3KPFB4AA3SE064580|16817|285704.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|AZURE BLUE|SATURN BLACK|EDAMR|INTERCAMBIO|2024-09-09|NUEVO|ESCOBEDO
3KPFB4AA8SE086283|17662|285704.6|2025|KIA|K3 SEDAN|K3 1.6L LX A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|PJCCJ|INTERCAMBIO|2025-01-15|NUEVO|ESCOBEDO
3KPFU4AE2SE058301|16618|362051.56|2025|KIA|K4 SD|K4 2.0 NU EX IVT|AZURE BLUE|MEDIUM GRAY|EDAMR|INTERCAMBIO|2024-11-19|NUEVO|ESCOBEDO
U6YPG3AA4ML988851|201202|387360.04|2021|KIA|NEW SPORTAGE|NEW SPORTAGE 2.0L LX TA|COOL SILVER|SATURN BLACK|DISPONIBLE|PARTICULAR|2024-02-17|USADO|ESCOBEDO
5XYPH4A33KG461827|201235|467310.15|2019|KIA|SORENTO|SORENTO  EX A/T 2.4L|TITANIUM SILVER|SATURN BLACK|DISPONIBLE|PERSONA MORAL|2023-08-30|USADO|ESCOBEDO
3N6AD33A6PK819058|201200|473200.0|2023|NISSAN|NP300 FRONTIER|FRONTIER LE 2.5L TM|PLATA|NEGRO|DISPONIBLE|PARTICULAR|2024-07-29|USADO|ESCOBEDO
MK2L6Y1YXNN001024|201241|232527.01|2022|MITSUBISHI|XPANDER CROSS|XPANDER CROSS LIMITED|ALLOY SILVER|NEGRO|DISPONIBLE|PERSONA MORAL|2024-03-07|USADO|ESCOBEDO
3KPFC4AA6RE017261|12800|322559.13|2024|KIA|K3 SEDAN|K3 1.6L EX PACK A/T Sedan|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-11-01|DEMO|MONTERREY
3KPFC4AA8SE058965|15325|296687.37|2025|KIA|K3 SEDAN|K3 1.6L EX T/M SEDAN|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-07-30|DEMO|MONTERREY
3KPFC4AA9SE088797|16813|296687.37|2025|KIA|K3 SEDAN|K3 1.6L EX T/M SEDAN|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-05-12|DEMO|MONTERREY
3KPFB4AA1SE088490|17316|255109.78|2025|KIA|K4 SD|K4 2.0 NU L IVT|STEEL GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-14|DEMO|MONTERREY
3KPA34ACXNE504078|8011|251980.54|2022|KIA|NEW RIO|NEW RIO 1.6L LX T/A SEDAN|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2022-07-25|DEMO|MONTERREY
3KPF34AD0RE777065|13650|338839.33|2024|KIA|FORTE SEDAN|NEW FORTE  2.0L EX IVT SEDAN|STEEL GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-03-26|DEMO|MONTERREY
LJD3BA1D2R0000138|13794|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|VIVID RED + BLACK ROOF|SATURN BLACK|ECECT|INTERCAMBIO|2024-12-04|DEMO|MONTERREY
LJD3BA1DXR0022825|17668|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-02|DEMO|MONTERREY
LJD3BA1D1R0022437|16048|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|GRAVITY GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-09-30|DEMO|MONTERREY
LJD3BA1D1R0022325|17667|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-10-02|DEMO|MONTERREY
MZBER2A47PN374524|8062|336274.43|2023|KIA|SELTOS|SELTOS 1.6L EX PACK T/A|WHITE PEARL + ORANGE ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2022-08-08|DEMO|MONTERREY
KNDPV3AD1S7372721|17391|465904.59|2025|KIA|NEW SPORTAGE|Sportage 2.0L EX T/A|GRAVITY GREY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-16|DEMO|MONTERREY
LJD3BA1DXR0031461|17179|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SPARKLING SILVER + BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2024-12-28|NUEVO|MONTERREY
LJD3BA1D9R0030981|17390|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-16|NUEVO|MONTERREY
LJD3BA1D2R0034967|17396|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|EALFC|INTERCAMBIO|2025-01-17|NUEVO|MONTERREY
LJD3BA1D6R0034759|17441|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|IMPERIAL BLUE|SATURN BLACK|EOMFH|INTERCAMBIO|2025-01-23|NUEVO|MONTERREY
LJD3BA1D6R0032526|17536|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-30|NUEVO|MONTERREY
LJD3BA1D3R0032158|17540|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|GRAVITY GRAY|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-27|NUEVO|MONTERREY
LJD3BA1D7R0034916|17653|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|PEWTER OLIVE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-03-02|NUEVO|MONTERREY
LJD3BA1D7R0035869|17655|347826.2|2024|KIA|SONET|Sonet 1.5L SX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-03-02|NUEVO|MONTERREY
LJD3BA1D2R0026951|16963|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|VIVID RED|SATURN BLACK|ECAS1|INTERCAMBIO|2024-11-29|NUEVO|MONTERREY
LJD3BA1D0R0034059|17660|290312.78|2024|KIA|SONET|Sonet 1.5L LX MT|SNOW WHITE PEARL|SATURN BLACK|EABDF|INTERCAMBIO|2024-11-27|NUEVO|MONTERREY
LJD3BA1DXR0027765|16763|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|GRAVITY GRAY|SATURN BLACK|PERAS|INTERCAMBIO|2024-12-31|NUEVO|MONTERREY
LJD3BA1D7R0031496|16953|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|EJACO|INTERCAMBIO|2024-12-18|NUEVO|MONTERREY
LJD3BA1D5R0033666|16957|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|IMPERIAL BLUE|SATURN BLACK|EPVCG|INTERCAMBIO|2024-12-18|NUEVO|MONTERREY
LJD3BA1D3R0031012|17026|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|VIVID RED/ BLACK ROOF|SATURN BLACK|EEABL|INTERCAMBIO|2024-12-18|NUEVO|MONTERREY
LJD3BA1D2R0036427|17395|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|VIVID RED|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-17|NUEVO|MONTERREY
LJD3BA1D7R0036665|17420|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|IMPERIAL BLUE|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-21|NUEVO|MONTERREY
LJD3BA1D3R0034010|17421|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-21|NUEVO|MONTERREY
LJD3BA1D3R0036629|17439|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-23|NUEVO|MONTERREY
LJD3BA1DXR0035249|17442|310269.41|2024|KIA|SONET|Sonet 1.5L EX IVT|SNOW WHITE PEARL/ BLACK ROOF|SATURN BLACK|DISPONIBLE|INTERCAMBIO|2025-01-23|NUEVO|MONTERREY
KNDCR3TE0S5249027|17562|562698.06|2025|KIA|NIRO|Niro 1.6L EX DCT Hybrid(Steel Grey)|AURORA BLACK|CHARCOAL|DISPONIBLE|INTERCAMBIO|2025-01-31|NUEVO|MONTERREY
KNDCR3TE4S5244669|17563|562698.06|2025|KIA|NIRO|Niro 1.6L EX DCT Hybrid(Steel Grey)|SNOW WHITE PEARL|CHARCOAL|ENCRC|INTERCAMBIO|2025-01-31|NUEVO|MONTERREY
LJD5AA1DXR0159372|16896|387724.9|2024|KIA|SELTOS|SELTOS 1.5L EX PACK CVT|VIVID RED + BLACK ROOF|SATURN BLACK|PERAS|INTERCAMBIO|2024-10-15|NUEVO|MONTERREY
